Month,year,Population,Participation rate(%),Labour Force,Employed,Unemployed,Unemployment Rate (%),Region,country/province ,date 
Jan,2006,510,68.9,352,326,26,7.3,London,Ontario,Jan-2006
Feb,2006,511,68.5,350,325,25,7,London,Ontario,Feb-2006
Mar,2006,511,69.1,353,330,23,6.6,London,Ontario,Mar-2006
Apr,2006,511,69.9,358,334,24,6.6,London,Ontario,Apr-2006
May,2006,512,69.8,358,337,21,5.8,London,Ontario,May-2006
Jun,2006,513,69.2,355,336,19,5.4,London,Ontario,Jun-2006
Jul,2006,513,68.4,351,330,21,5.9,London,Ontario,Jul-2006
Aug,2006,514,67.9,349,328,21,6.1,London,Ontario,Aug-2006
Sep,2006,514,68.7,353,332,21,5.9,London,Ontario,Sep-2006
Oct,2006,514,69.4,357,336,21,5.9,London,Ontario,Oct-2006
Nov,2006,515,70.3,362,340,22,6,London,Ontario,Nov-2006
Dec,2006,515,70.8,364,343,22,5.9,London,Ontario,Dec-2006
Jan,2007,515,70.5,363,341,22,6,London,Ontario,Jan-2007
Feb,2007,515,70,361,340,21,5.7,London,Ontario,Feb-2007
Mar,2007,516,69.5,358,337,21,5.9,London,Ontario,Mar-2007
Apr,2007,516,69.1,357,335,22,6,London,Ontario,Apr-2007
May,2007,516,68.4,353,333,21,5.8,London,Ontario,May-2007
Jun,2007,517,67.8,350,330,20,5.8,London,Ontario,Jun-2007
Jul,2007,517,68.1,352,332,20,5.6,London,Ontario,Jul-2007
Aug,2007,518,68.5,355,334,20,5.7,London,Ontario,Aug-2007
Sep,2007,518,69.4,360,339,21,5.8,London,Ontario,Sep-2007
Oct,2007,518,69.7,362,340,21,5.8,London,Ontario,Oct-2007
Nov,2007,519,69.7,361,338,23,6.4,London,Ontario,Nov-2007
Dec,2007,519,69.4,360,335,25,6.9,London,Ontario,Dec-2007
Jan,2008,519,69.1,359,334,25,7,London,Ontario,Jan-2008
Feb,2008,520,68.9,358,334,24,6.8,London,Ontario,Feb-2008
Mar,2008,520,68.6,356,332,24,6.7,London,Ontario,Mar-2008
Apr,2008,520,68.3,355,330,25,7,London,Ontario,Apr-2008
May,2008,521,67.9,354,329,25,7.1,London,Ontario,May-2008
Jun,2008,521,67.6,352,327,25,7.2,London,Ontario,Jun-2008
Jul,2008,522,67.2,351,327,23,6.6,London,Ontario,Jul-2008
Aug,2008,522,67.6,353,331,22,6.2,London,Ontario,Aug-2008
Sep,2008,522,67.8,354,330,24,6.8,London,Ontario,Sep-2008
Oct,2008,523,67.7,354,329,25,6.9,London,Ontario,Oct-2008
Nov,2008,523,67.3,352,325,27,7.5,London,Ontario,Nov-2008
Dec,2008,523,67.4,352,324,28,8,London,Ontario,Dec-2008
Jan,2009,523,67.3,352,320,32,9.1,London,Ontario,Jan-2009
Feb,2009,523,67.5,353,319,34,9.7,London,Ontario,Feb-2009
Mar,2009,523,67.2,352,316,35,10,London,Ontario,Mar-2009
Apr,2009,523,66.4,348,313,35,10,London,Ontario,Apr-2009
May,2009,524,67.1,351,313,39,11.1,London,Ontario,May-2009
Jun,2009,524,67.2,352,315,37,10.5,London,Ontario,Jun-2009
Jul,2009,525,67.1,352,316,36,10.1,London,Ontario,Jul-2009
Aug,2009,525,66.5,349,313,36,10.2,London,Ontario,Aug-2009
Sep,2009,525,66.7,350,314,36,10.3,London,Ontario,Sep-2009
Oct,2009,526,67.1,353,317,36,10.2,London,Ontario,Oct-2009
Nov,2009,526,67.8,357,322,35,9.7,London,Ontario,Nov-2009
Dec,2009,526,67.1,353,321,32,9,London,Ontario,Dec-2009
Jan,2010,526,67,353,322,31,8.8,London,Ontario,Jan-2010
Feb,2010,527,66.4,350,319,31,8.9,London,Ontario,Feb-2010
Mar,2010,527,66.2,349,318,31,8.8,London,Ontario,Mar-2010
Apr,2010,527,66.3,350,320,30,8.5,London,Ontario,Apr-2010
May,2010,528,66.7,352,323,29,8.3,London,Ontario,May-2010
Jun,2010,528,66.9,353,326,27,7.7,London,Ontario,Jun-2010
Jul,2010,529,66.6,352,324,28,7.9,London,Ontario,Jul-2010
Aug,2010,529,66.2,350,320,30,8.5,London,Ontario,Aug-2010
Sep,2010,530,65.2,345,316,30,8.6,London,Ontario,Sep-2010
Oct,2010,530,65.3,346,317,29,8.4,London,Ontario,Oct-2010
Nov,2010,530,65.9,349,321,28,8,London,Ontario,Nov-2010
Dec,2010,530,66,350,321,29,8.3,London,Ontario,Dec-2010
Jan,2011,530,65.7,349,320,29,8.2,London,Ontario,Jan-2011
Feb,2011,531,64.9,344,316,29,8.3,London,Ontario,Feb-2011
Mar,2011,531,65.4,348,318,29,8.5,London,Ontario,Mar-2011
Apr,2011,531,66.2,352,322,30,8.4,London,Ontario,Apr-2011
May,2011,532,66,351,320,31,8.8,London,Ontario,May-2011
Jun,2011,532,65.8,350,318,32,9,London,Ontario,Jun-2011
Jul,2011,532,65.6,349,318,31,9,London,Ontario,Jul-2011
Aug,2011,533,65.8,351,320,31,8.7,London,Ontario,Aug-2011
Sep,2011,533,66,352,321,31,8.8,London,Ontario,Sep-2011
Oct,2011,534,65.5,350,318,31,8.9,London,Ontario,Oct-2011
Nov,2011,534,65.3,349,316,32,9.3,London,Ontario,Nov-2011
Dec,2011,535,64.8,346,315,31,8.9,London,Ontario,Dec-2011
Jan,2012,535,64.8,347,316,31,9,London,Ontario,Jan-2012
Feb,2012,535,64.2,344,314,29,8.5,London,Ontario,Feb-2012
Mar,2012,536,64,343,316,27,7.8,London,Ontario,Mar-2012
Apr,2012,536,64.7,347,320,27,7.7,London,Ontario,Apr-2012
May,2012,536,65.1,349,322,27,7.7,London,Ontario,May-2012
Jun,2012,537,65.5,352,324,27,7.7,London,Ontario,Jun-2012
Jul,2012,537,65.7,353,326,27,7.7,London,Ontario,Jul-2012
Aug,2012,538,65.8,354,325,28,8,London,Ontario,Aug-2012
Sep,2012,538,66.1,355,328,28,7.8,London,Ontario,Sep-2012
Oct,2012,538,65.6,353,323,30,8.6,London,Ontario,Oct-2012
Nov,2012,538,65.2,351,321,30,8.4,London,Ontario,Nov-2012
Dec,2012,539,64.6,348,320,28,8.1,London,Ontario,Dec-2012
Jan,2013,539,64.5,347,321,27,7.6,London,Ontario,Jan-2013
Feb,2013,539,64.7,349,322,27,7.7,London,Ontario,Feb-2013
Mar,2013,539,65.1,351,322,29,8.3,London,Ontario,Mar-2013
Apr,2013,540,65.2,352,323,29,8.4,London,Ontario,Apr-2013
May,2013,540,65.5,354,324,29,8.3,London,Ontario,May-2013
Jun,2013,540,65.6,355,326,29,8.2,London,Ontario,Jun-2013
Jul,2013,541,65.1,352,323,29,8.2,London,Ontario,Jul-2013
Aug,2013,541,64.7,350,321,29,8.2,London,Ontario,Aug-2013
Sep,2013,541,63.8,345,318,27,7.8,London,Ontario,Sep-2013
Oct,2013,542,63.6,344,318,27,7.7,London,Ontario,Oct-2013
Nov,2013,542,63.5,344,320,24,6.8,London,Ontario,Nov-2013
Dec,2013,542,63.7,345,320,25,7.2,London,Ontario,Dec-2013
Jan,2014,542,63.5,344,320,24,7,London,Ontario,Jan-2014
Feb,2014,542,63.8,346,320,26,7.5,London,Ontario,Feb-2014
Mar,2014,543,63.7,346,320,26,7.4,London,Ontario,Mar-2014
Apr,2014,543,64,348,322,26,7.5,London,Ontario,Apr-2014
